Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-02-27,Transportation,UPI,Parking fees,773.26,38.38
2024-02-19,Bills,Credit Card,Mobile phone bill,129.95,12.03
2024-02-28,Food,Cash,Coffee and pastries at a café,310.73,17.88
2024-02-15,Transportation,Net Banking,Parking fees,651.58,52.46
2024-02-13,Personal,Cash,Hobby supplies,279.44,4.84
2024-02-25,Food,Debit Card,Dinner at a restaurant,993.16,38.36
2024-02-13,Gifts,Debit Card,Charity donation,591.04,56.33
2024-02-27,Subscriptions,UPI,Streaming service subscription,208.78,9.05
2024-02-15,Bills,Debit Card,Insurance premium payment,191.8,6.59
2024-02-16,Transportation,Debit Card,Public transport monthly pass,566.01,50.75
2024-02-19,Transportation,Net Banking,Public transport monthly pass,617.4,46.82
2024-02-07,Food,Credit Card,Takeout from a local diner,524.31,0.42
2024-02-07,Investment,Net Banking,Retirement account contribution,836.03,0.0
2024-02-27,Investment,UPI,Investment in startup,957.73,0.0
2024-02-22,Transportation,Net Banking,Parking fees,642.75,6.7
2024-02-06,Subscriptions,UPI,Online course fee,174.92,2.41
2024-02-15,Bills,Credit Card,Electricity bill payment,341.64,9.65
2024-02-20,Bills,UPI,Insurance premium payment,297.49,25.32
2024-02-11,Personal,Debit Card,Clothing purchase,193.2,18.7
2024-02-04,Transportation,UPI,Taxi fare to a meeting,910.46,6.06
2024-02-25,Personal,Cash,Clothing purchase,604.32,38.47
2024-02-21,Transportation,Credit Card,Uber ride to the airport,193.97,8.16
2024-02-23,Personal,Net Banking,Clothing purchase,575.25,40.58
2024-02-19,Personal,Debit Card,Personal care products,745.89,30.83
2024-02-01,Gifts,Net Banking,Anniversary gift,228.21,7.59
2024-02-26,Personal,Debit Card,Hobby supplies,662.04,17.09
2024-02-24,Food,Debit Card,Snacks for cravings,237.13,17.41
2024-02-07,Bills,Credit Card,Electricity bill payment,297.2,6.81
2024-02-08,Personal,Net Banking,Personal care products,812.54,48.92
2024-02-13,Bills,Net Banking,Insurance premium payment,497.56,46.78
2024-02-24,Travel,Debit Card,Sightseeing tour tickets,227.14,1.27
2024-02-04,Subscriptions,UPI,Monthly magazine subscription,280.63,19.37
2024-02-03,Subscriptions,Net Banking,Streaming service subscription,614.3,15.79
2024-02-24,Bills,Credit Card,Insurance premium payment,155.47,3.62
2024-02-16,Travel,Credit Card,Travel insurance,907.57,56.15
2024-02-12,Personal,UPI,Clothing purchase,983.83,13.04
2024-02-24,Bills,Cash,Water bill payment,989.59,36.34
2024-02-26,Transportation,Credit Card,Public transport monthly pass,599.83,15.91
2024-02-16,Travel,Net Banking,Car rental for the trip,462.95,7.52
2024-02-15,Entertainment,Credit Card,Concert tickets,399.66,17.28
2024-02-27,Entertainment,UPI,Movie tickets for the weekend,595.95,21.12
2024-02-21,Transportation,Debit Card,Public transport monthly pass,436.27,3.69
2024-02-18,Investment,Credit Card,Retirement account contribution,549.59,0.0
2024-02-12,Entertainment,Net Banking,Movie tickets for the weekend,655.48,8.57
2024-02-21,Investment,UPI,Cryptocurrency purchase,659.83,0.0
2024-02-16,Travel,Credit Card,Sightseeing tour tickets,384.44,34.55
2024-02-03,Subscriptions,Debit Card,Streaming service subscription,211.21,19.05
2024-02-01,Travel,Cash,Car rental for the trip,534.32,17.36
2024-02-11,Subscriptions,Cash,Gym membership,382.89,19.35
2024-02-13,Personal,Debit Card,Clothing purchase,573.76,10.56
2024-02-17,Subscriptions,Net Banking,Software subscription,148.86,13.87
2024-02-27,Groceries,Debit Card,Buying fresh produce,288.43,3.77
2024-02-26,Food,Credit Card,Lunch with friends,507.47,33.37
2024-02-02,Transportation,Net Banking,Taxi fare to a meeting,887.08,6.18
2024-02-15,Bills,Cash,Electricity bill payment,450.48,9.3
2024-02-13,Food,UPI,Snacks for cravings,724.0,39.01
2024-02-23,Personal,UPI,Clothing purchase,923.22,68.74
2024-02-27,Food,Cash,Takeout from a local diner,550.22,2.3
2024-02-12,Investment,Debit Card,Cryptocurrency purchase,894.35,0.0
2024-02-24,Entertainment,Net Banking,Streaming service subscription,126.14,8.68
2024-02-28,Investment,Cash,Stock purchase,417.84,0.0
2024-02-02,Transportation,Debit Card,Parking fees,944.39,79.9
2024-02-27,Transportation,Debit Card,Uber ride to the airport,498.98,30.49
2024-02-10,Groceries,Credit Card,Buying meat and dairy products,980.26,81.03
2024-02-02,Food,Debit Card,Lunch with friends,860.6,16.9
2024-02-28,Subscriptions,UPI,Monthly magazine subscription,207.61,11.77
2024-02-20,Food,Credit Card,Takeout from a local diner,868.86,27.42
2024-02-03,Subscriptions,Debit Card,Software subscription,556.71,12.5
2024-02-01,Bills,Credit Card,Internet service charge,110.31,6.17
2024-02-26,Subscriptions,UPI,Online course fee,579.95,7.14
2024-02-12,Personal,Credit Card,Clothing purchase,271.83,23.62
2024-02-06,Investment,Credit Card,Retirement account contribution,366.96,0.0
2024-02-03,Transportation,UPI,Uber ride to the airport,134.29,4.44
2024-02-26,Investment,Cash,Retirement account contribution,514.28,0.0
2024-02-02,Transportation,Cash,Uber ride to the airport,122.76,9.02
2024-02-01,Travel,Net Banking,Hotel booking for vacation,515.24,21.64
2024-02-28,Transportation,UPI,Public transport monthly pass,983.68,15.2
2024-02-28,Bills,UPI,Mobile phone bill,734.48,12.47
2024-02-28,Subscriptions,Debit Card,Online course fee,344.29,7.06
2024-02-23,Groceries,Cash,Weekly grocery shopping,515.21,6.57
2024-02-01,Transportation,Cash,Gas for the car,316.46,11.65
2024-02-09,Food,Cash,Snacks for cravings,103.44,9.77
2024-02-25,Transportation,UPI,Parking fees,898.83,84.04
2024-02-16,Subscriptions,Credit Card,Gym membership,742.01,60.46
2024-02-05,Travel,Debit Card,Flight tickets to a destination,158.02,12.69
2024-02-04,Transportation,Debit Card,Public transport monthly pass,321.08,4.54
2024-02-25,Subscriptions,Debit Card,Monthly magazine subscription,312.38,8.37
2024-02-18,Entertainment,Credit Card,Streaming service subscription,556.57,35.27
2024-03-21,Entertainment,Net Banking,Video game purchase,792.49,77.0
2024-03-25,Entertainment,UPI,Dining out with friends,592.14,41.6
2024-03-27,Personal,Net Banking,Books and stationery,32.58,2.79
2024-03-08,Personal,Credit Card,Books and stationery,504.62,6.19
2024-03-29,Personal,Cash,Books and stationery,428.08,5.14
2024-03-18,Subscriptions,Cash,Online course fee,571.0,35.68
2024-03-23,Bills,Net Banking,Electricity bill payment,35.08,3.26
2024-03-23,Investment,Cash,Dividend reinvestment,820.96,0.0
2024-03-03,Subscriptions,Credit Card,Streaming service subscription,209.22,6.37
2024-03-16,Personal,Debit Card,Books and stationery,515.06,9.94
2024-03-17,Entertainment,Net Banking,Streaming service subscription,152.2,11.06
2024-03-30,Transportation,Credit Card,Parking fees,717.57,12.89
2024-03-05,Groceries,UPI,Buying fresh produce,744.34,28.47
2024-03-24,Travel,Debit Card,Hotel booking for vacation,101.58,1.96
2024-03-11,Groceries,Debit Card,Buying fresh produce,803.93,34.82
2024-03-28,Personal,UPI,Hobby supplies,407.22,28.02
2024-03-17,Investment,UPI,Dividend reinvestment,908.29,0.0
2024-03-02,Food,Net Banking,Takeout from a local diner,625.71,49.72
2024-03-09,Transportation,UPI,Public transport monthly pass,415.61,13.02
2024-03-03,Investment,Cash,Dividend reinvestment,442.1,0.0
2024-03-04,Transportation,UPI,Parking fees,989.53,83.11
2024-03-20,Bills,Cash,Insurance premium payment,399.16,19.88
2024-03-05,Groceries,Cash,Buying fresh produce,269.5,16.42
2024-03-04,Gifts,Cash,Anniversary gift,975.9,28.38
2024-03-24,Groceries,Debit Card,Buying fresh produce,294.07,5.96
2024-03-09,Groceries,Cash,Weekly grocery shopping,503.38,36.3
2024-03-26,Entertainment,Credit Card,Streaming service subscription,561.55,12.8
2024-03-22,Entertainment,Cash,Streaming service subscription,698.83,15.77
2024-03-18,Bills,Debit Card,Insurance premium payment,962.53,30.75
2024-03-11,Transportation,Debit Card,Public transport monthly pass,598.71,8.62
2024-03-27,Food,Credit Card,Snacks for cravings,508.82,47.49
2024-03-01,Food,Debit Card,Coffee and pastries at a café,529.3,45.24
2024-03-20,Gifts,UPI,Gift for a colleague,10.23,0.26
2024-03-24,Personal,Debit Card,Books and stationery,797.81,67.73
2024-03-28,Groceries,UPI,Household supplies,150.24,3.82
2024-03-04,Investment,Cash,Retirement account contribution,541.72,0.0
2024-03-14,Travel,Debit Card,Hotel booking for vacation,899.27,64.98
2024-03-07,Investment,Debit Card,Investment in startup,690.65,0.0
2024-03-07,Food,Debit Card,Snacks for cravings,306.93,8.31
2024-03-08,Investment,Cash,Retirement account contribution,902.66,0.0
2024-03-14,Transportation,UPI,Taxi fare to a meeting,119.23,4.78
2024-03-01,Personal,UPI,Personal care products,511.48,29.8
2024-03-24,Subscriptions,Credit Card,Gym membership,179.02,16.81
2024-03-13,Travel,Debit Card,Travel insurance,462.93,17.21
2024-03-08,Subscriptions,Cash,Gym membership,431.13,15.22
2024-03-30,Personal,UPI,Hobby supplies,486.78,8.99
2024-03-20,Gifts,UPI,Holiday gift,701.58,14.74
2024-03-02,Food,Net Banking,Dinner at a restaurant,79.13,1.61
2024-03-27,Entertainment,Credit Card,Video game purchase,622.84,19.92
2024-03-08,Investment,UPI,Stock purchase,963.53,0.0
2024-03-13,Investment,Cash,Cryptocurrency purchase,204.34,0.0
2024-03-04,Food,Debit Card,Takeout from a local diner,977.07,2.23
2024-03-11,Transportation,Net Banking,Gas for the car,529.51,37.19
2024-03-18,Bills,Credit Card,Internet service charge,536.43,13.03
2024-03-27,Food,Cash,Snacks for cravings,412.58,29.35
2024-03-29,Investment,Cash,Retirement account contribution,559.72,0.0
2024-03-06,Bills,Debit Card,Water bill payment,268.78,10.38
2024-03-08,Gifts,Debit Card,Holiday gift,306.55,9.99
2024-03-20,Subscriptions,UPI,Online course fee,201.9,5.72
2024-03-15,Personal,Credit Card,Clothing purchase,186.76,13.08
2024-03-20,Personal,UPI,Personal care products,518.86,28.05
2024-03-10,Bills,Credit Card,Water bill payment,788.42,31.8
2024-03-19,Gifts,Credit Card,Birthday gift for a friend,775.78,22.81
2024-03-26,Bills,Credit Card,Electricity bill payment,135.68,3.08
2024-03-15,Bills,Net Banking,Electricity bill payment,965.53,31.25
2024-03-08,Investment,Credit Card,Retirement account contribution,15.61,0.0
2024-03-28,Subscriptions,Credit Card,Online course fee,452.26,5.13
2024-03-02,Personal,Credit Card,Clothing purchase,24.44,2.08
2024-03-09,Investment,Cash,Retirement account contribution,723.91,0.0
2024-03-05,Bills,UPI,Electricity bill payment,994.28,96.7
2024-03-25,Entertainment,Credit Card,Movie tickets for the weekend,342.36,2.47
2024-03-04,Entertainment,Credit Card,Video game purchase,189.75,5.55
2024-03-28,Food,Cash,Coffee and pastries at a café,274.82,23.04
2024-03-12,Transportation,Cash,Gas for the car,654.7,62.57
2024-03-20,Travel,Cash,Hotel booking for vacation,168.13,12.02
2024-03-23,Bills,Cash,Internet service charge,100.94,7.98
2024-03-03,Entertainment,Net Banking,Streaming service subscription,168.83,16.71
2024-03-19,Entertainment,Debit Card,Movie tickets for the weekend,936.4,10.09
2024-03-29,Subscriptions,Credit Card,Online course fee,320.18,12.53
2024-03-17,Investment,Credit Card,Real estate investment,396.49,0.0
2024-03-12,Groceries,UPI,Household supplies,622.32,46.42
2024-03-27,Personal,Net Banking,Personal care products,77.29,0.36
2024-03-24,Travel,Net Banking,Flight tickets to a destination,661.99,15.31
2024-03-20,Gifts,Credit Card,Anniversary gift,258.81,3.43
2024-03-02,Subscriptions,UPI,Software subscription,245.76,6.46
2024-03-04,Gifts,Net Banking,Gift for a colleague,205.23,4.5
2024-03-01,Investment,Net Banking,Retirement account contribution,802.03,0.0
2024-03-30,Personal,Debit Card,Personal care products,956.86,22.93
2024-03-27,Transportation,Net Banking,Taxi fare to a meeting,945.71,93.13
2024-03-25,Subscriptions,Cash,Streaming service subscription,123.69,1.52
2024-03-22,Personal,Net Banking,Hobby supplies,999.06,5.53
2024-03-14,Food,Credit Card,Dinner at a restaurant,329.12,28.39
2024-03-16,Transportation,Cash,Uber ride to the airport,932.52,56.61
2024-03-27,Personal,UPI,Clothing purchase,265.29,24.87
2024-03-09,Food,Credit Card,Snacks for cravings,164.39,5.32
2024-03-09,Gifts,UPI,Holiday gift,6.37,0.38
2024-03-25,Food,Cash,Lunch with friends,535.11,1.71
2024-03-12,Personal,Net Banking,Clothing purchase,311.03,25.27
2024-03-30,Gifts,UPI,Anniversary gift,808.12,55.84
2024-03-05,Personal,Net Banking,Hobby supplies,802.22,39.41
2024-04-12,Subscriptions,UPI,Monthly magazine subscription,236.29,11.87
2024-04-16,Food,Net Banking,Dinner at a restaurant,397.76,25.95
2024-04-10,Travel,Debit Card,Sightseeing tour tickets,803.42,59.79
2024-04-13,Personal,Cash,Personal care products,807.68,51.13
2024-04-22,Personal,Cash,Hobby supplies,364.82,21.06
2024-04-25,Personal,Cash,Clothing purchase,16.15,1.47
2024-04-27,Transportation,Debit Card,Public transport monthly pass,457.44,25.83
2024-04-08,Groceries,Credit Card,Weekly grocery shopping,832.98,13.12
2024-04-22,Investment,Net Banking,Cryptocurrency purchase,314.33,0.0
2024-04-13,Travel,UPI,Sightseeing tour tickets,238.2,20.8
2024-04-17,Bills,Cash,Electricity bill payment,40.71,1.06
2024-04-18,Travel,Credit Card,Sightseeing tour tickets,729.24,67.51
2024-04-20,Subscriptions,Net Banking,Gym membership,481.71,3.05
2024-04-03,Groceries,Credit Card,Snacks and drinks for the week,203.15,17.05
2024-04-20,Gifts,Net Banking,Birthday gift for a friend,581.42,18.06
2024-04-21,Personal,Credit Card,Clothing purchase,95.08,2.82
2024-04-05,Food,Credit Card,Dinner at a restaurant,25.78,1.69
2024-04-17,Entertainment,Debit Card,Streaming service subscription,323.65,8.1
2024-04-19,Investment,Net Banking,Investment in startup,234.23,0.0
2024-04-22,Investment,UPI,Bond investment,420.12,0.0
2024-04-16,Travel,Net Banking,Hotel booking for vacation,492.33,1.15
2024-04-16,Investment,Net Banking,Bond investment,767.16,0.0
2024-04-11,Investment,Cash,Bond investment,22.72,0.0
2024-04-17,Entertainment,Debit Card,Dining out with friends,486.9,4.07
2024-04-26,Bills,Debit Card,Electricity bill payment,685.67,53.16
2024-04-27,Gifts,Debit Card,Charity donation,664.7,54.21
2024-04-14,Gifts,Net Banking,Gift for a colleague,883.25,73.88
2024-04-03,Personal,Cash,Personal care products,458.75,18.44
2024-04-17,Investment,Debit Card,Real estate investment,381.49,0.0
2024-04-17,Transportation,Net Banking,Public transport monthly pass,553.77,40.23
2024-04-24,Groceries,Credit Card,Buying meat and dairy products,531.61,37.32
2024-04-07,Personal,UPI,Personal care products,447.68,8.07
2024-04-25,Travel,Cash,Travel insurance,147.02,1.5
2024-04-05,Gifts,Credit Card,Gift for a colleague,647.35,9.12
2024-04-08,Groceries,Cash,Buying meat and dairy products,381.92,10.34
2024-04-20,Transportation,UPI,Public transport monthly pass,264.76,3.4
2024-04-11,Food,UPI,Dinner at a restaurant,625.92,8.52
2024-04-06,Transportation,UPI,Public transport monthly pass,353.15,15.73
2024-04-26,Subscriptions,Debit Card,Software subscription,255.87,21.57
2024-04-11,Groceries,Cash,Snacks and drinks for the week,498.31,28.82
2024-04-20,Gifts,Net Banking,Gift for a colleague,242.47,5.5
2024-04-22,Groceries,Cash,Buying fresh produce,355.31,33.64
2024-04-08,Transportation,Cash,Taxi fare to a meeting,980.83,88.68
2024-04-23,Gifts,Net Banking,Birthday gift for a friend,403.52,16.73
2024-04-26,Gifts,UPI,Gift for a colleague,206.42,15.86
2024-04-07,Groceries,Cash,Snacks and drinks for the week,228.12,14.51
2024-04-16,Investment,Debit Card,Mutual fund contribution,891.03,0.0
2024-04-15,Food,Net Banking,Takeout from a local diner,102.68,3.99
2024-04-13,Bills,UPI,Mobile phone bill,434.79,34.23
2024-04-24,Travel,Debit Card,Car rental for the trip,43.17,1.59
2024-04-12,Gifts,UPI,Birthday gift for a friend,759.72,34.29
2024-04-20,Groceries,Debit Card,Household supplies,884.1,78.5
2024-04-24,Groceries,Credit Card,Weekly grocery shopping,967.59,92.99
2024-04-10,Gifts,Cash,Holiday gift,289.59,22.94
2024-04-21,Entertainment,UPI,Concert tickets,294.66,2.67
2024-04-16,Entertainment,UPI,Movie tickets for the weekend,598.18,33.14
2024-04-27,Transportation,Cash,Parking fees,788.24,64.6
2024-04-12,Travel,Credit Card,Flight tickets to a destination,537.0,21.73
2024-04-20,Transportation,Debit Card,Uber ride to the airport,774.51,6.94
2024-04-01,Entertainment,Debit Card,Movie tickets for the weekend,763.1,13.93
2024-04-11,Transportation,Credit Card,Parking fees,446.66,5.35
2024-04-10,Entertainment,Net Banking,Concert tickets,980.78,71.97
2024-04-05,Food,Cash,Snacks for cravings,282.72,15.65
2024-04-23,Entertainment,Debit Card,Concert tickets,590.93,6.73
2024-04-02,Bills,UPI,Internet service charge,685.03,51.16
2024-04-10,Subscriptions,Cash,Streaming service subscription,817.67,46.07
2024-04-03,Transportation,Net Banking,Taxi fare to a meeting,507.96,2.01
2024-04-19,Groceries,UPI,Household supplies,32.06,1.15
2024-04-19,Bills,Credit Card,Internet service charge,598.63,45.64
2024-04-18,Groceries,UPI,Snacks and drinks for the week,531.66,42.73
2024-04-13,Transportation,Net Banking,Taxi fare to a meeting,272.28,25.01
2024-04-23,Groceries,UPI,Snacks and drinks for the week,296.58,24.82
2024-04-21,Investment,Credit Card,Cryptocurrency purchase,389.12,0.0
2024-04-21,Food,Credit Card,Lunch with friends,883.15,40.75
2024-04-27,Subscriptions,Debit Card,Gym membership,568.24,33.38
2024-04-01,Subscriptions,Debit Card,Streaming service subscription,763.87,12.26
2024-04-10,Groceries,Net Banking,Buying fresh produce,465.29,20.43
2024-04-27,Subscriptions,Net Banking,Gym membership,145.07,13.81
2024-04-23,Food,Net Banking,Lunch with friends,397.36,34.35
2024-04-09,Investment,Credit Card,Dividend reinvestment,774.7,0.0
2024-04-10,Subscriptions,UPI,Monthly magazine subscription,351.54,27.2
2024-04-27,Subscriptions,Cash,Monthly magazine subscription,985.7,67.57
2024-04-02,Travel,Net Banking,Sightseeing tour tickets,814.82,44.0
2024-04-16,Travel,Debit Card,Sightseeing tour tickets,694.14,67.17
2024-04-28,Groceries,Credit Card,Household supplies,680.78,36.93
2024-04-08,Gifts,Net Banking,Charity donation,462.5,25.74
2024-04-17,Investment,Debit Card,Mutual fund contribution,492.02,0.0
2024-04-27,Food,Debit Card,Dinner at a restaurant,555.99,24.97
2024-04-23,Personal,Net Banking,Books and stationery,36.48,0.72
2024-04-08,Groceries,UPI,Household supplies,900.37,20.96
2024-04-01,Bills,Credit Card,Internet service charge,403.35,6.5
2024-04-01,Groceries,Credit Card,Household supplies,668.92,19.0
2024-04-01,Gifts,Debit Card,Holiday gift,807.31,41.72
2024-04-15,Bills,Credit Card,Internet service charge,344.36,7.72
2024-04-20,Entertainment,Cash,Video game purchase,91.36,4.47
2024-04-16,Subscriptions,Credit Card,Software subscription,198.62,14.93
2024-04-08,Groceries,UPI,Weekly grocery shopping,508.19,24.55
2024-04-16,Gifts,Net Banking,Gift for a colleague,257.06,4.62
2024-04-08,Gifts,Cash,Birthday gift for a friend,45.08,3.38
2024-04-07,Subscriptions,Net Banking,Software subscription,554.41,52.69
2024-05-05,Travel,Credit Card,Hotel booking for vacation,194.15,5.55
2024-05-08,Entertainment,Debit Card,Dining out with friends,312.62,14.8
2024-05-02,Food,Cash,Snacks for cravings,897.95,65.0
2024-05-16,Investment,UPI,Retirement account contribution,141.48,0.0
2024-05-17,Subscriptions,Net Banking,Monthly magazine subscription,398.27,17.48
2024-05-28,Investment,Net Banking,Retirement account contribution,120.92,0.0
2024-05-25,Subscriptions,Credit Card,Monthly magazine subscription,65.24,4.23
2024-05-15,Bills,Net Banking,Insurance premium payment,336.03,20.43
2024-05-01,Travel,Cash,Flight tickets to a destination,365.97,33.4
2024-05-17,Groceries,UPI,Weekly grocery shopping,381.68,24.96
2024-05-29,Subscriptions,Debit Card,Gym membership,345.95,26.53
2024-05-28,Transportation,Debit Card,Public transport monthly pass,846.72,31.76
2024-05-17,Groceries,Net Banking,Household supplies,432.76,36.51
2024-05-09,Food,Net Banking,Takeout from a local diner,718.45,25.51
2024-05-25,Groceries,UPI,Buying meat and dairy products,774.66,50.83
2024-05-16,Travel,Debit Card,Car rental for the trip,902.24,39.29
2024-05-30,Subscriptions,Cash,Monthly magazine subscription,647.55,39.2
2024-05-03,Subscriptions,Debit Card,Gym membership,988.77,40.54
2024-05-04,Travel,Net Banking,Travel insurance,316.45,3.09
2024-05-02,Subscriptions,Cash,Gym membership,333.07,26.44
2024-05-06,Transportation,Net Banking,Taxi fare to a meeting,979.16,24.79
2024-05-25,Bills,Credit Card,Internet service charge,173.68,16.02
2024-05-01,Travel,Net Banking,Car rental for the trip,327.18,23.07
2024-05-29,Subscriptions,Cash,Online course fee,320.42,19.5
2024-05-17,Transportation,Cash,Taxi fare to a meeting,765.15,24.38
2024-05-19,Gifts,Debit Card,Birthday gift for a friend,475.67,39.97
2024-05-27,Gifts,Debit Card,Holiday gift,657.67,40.49
2024-05-12,Entertainment,UPI,Streaming service subscription,186.58,0.21
2024-05-28,Travel,UPI,Flight tickets to a destination,818.06,29.09
2024-05-21,Groceries,Cash,Snacks and drinks for the week,42.44,3.11
2024-05-09,Groceries,UPI,Snacks and drinks for the week,36.79,0.22
2024-05-10,Gifts,Credit Card,Holiday gift,726.27,28.45
2024-05-10,Gifts,Net Banking,Anniversary gift,362.01,32.88
2024-05-17,Entertainment,Cash,Concert tickets,508.16,48.15
2024-05-18,Food,Cash,Lunch with friends,123.83,2.57
2024-05-05,Gifts,Net Banking,Birthday gift for a friend,232.49,4.15
2024-05-24,Investment,UPI,Retirement account contribution,278.89,0.0
2024-05-25,Travel,Cash,Sightseeing tour tickets,437.0,42.53
2024-05-07,Subscriptions,UPI,Software subscription,238.35,20.63
2024-05-20,Personal,Credit Card,Clothing purchase,275.48,25.96
2024-05-28,Food,Credit Card,Snacks for cravings,849.23,42.09
2024-05-06,Bills,Cash,Insurance premium payment,76.21,0.76
2024-05-19,Food,Cash,Dinner at a restaurant,620.12,38.25
2024-05-19,Subscriptions,UPI,Software subscription,828.19,25.36
2024-05-25,Investment,Debit Card,Mutual fund contribution,161.32,0.0
2024-05-06,Investment,UPI,Stock purchase,837.26,0.0
2024-05-07,Personal,Credit Card,Clothing purchase,619.91,6.96
2024-05-04,Entertainment,Credit Card,Streaming service subscription,827.11,45.52
2024-05-14,Investment,Net Banking,Stock purchase,183.5,0.0
2024-05-25,Food,Debit Card,Lunch with friends,568.63,8.21
2024-05-29,Travel,Debit Card,Travel insurance,830.5,16.83
2024-05-20,Bills,UPI,Internet service charge,654.36,5.38
2024-05-26,Gifts,Credit Card,Charity donation,950.72,51.93
2024-05-08,Bills,Debit Card,Internet service charge,506.97,46.85
2024-05-05,Personal,Cash,Clothing purchase,787.98,59.76
2024-05-19,Food,UPI,Coffee and pastries at a café,755.38,35.5
2024-05-19,Groceries,Credit Card,Buying fresh produce,627.16,44.62
2024-05-09,Entertainment,Cash,Streaming service subscription,913.01,26.7
2024-05-27,Gifts,UPI,Birthday gift for a friend,367.93,27.45
2024-05-03,Personal,Net Banking,Personal care products,681.6,60.93
2024-05-25,Bills,Debit Card,Electricity bill payment,729.35,34.57
2024-05-21,Gifts,Cash,Charity donation,965.78,72.28
2024-05-21,Groceries,UPI,Household supplies,896.21,11.86
2024-05-16,Entertainment,Net Banking,Movie tickets for the weekend,200.46,14.19
2024-05-08,Investment,Debit Card,Dividend reinvestment,874.48,0.0
2024-05-27,Investment,UPI,Investment in startup,694.16,0.0
2024-05-01,Groceries,Credit Card,Weekly grocery shopping,550.38,30.95
2024-05-11,Travel,Debit Card,Travel insurance,819.99,58.13
2024-05-19,Groceries,Credit Card,Buying meat and dairy products,831.21,1.94
2024-05-03,Investment,Credit Card,Bond investment,419.06,0.0
2024-05-05,Groceries,Credit Card,Buying fresh produce,90.63,4.92
2024-05-03,Bills,Net Banking,Internet service charge,213.63,21.24
2024-05-07,Travel,Credit Card,Sightseeing tour tickets,481.73,47.5
2024-05-15,Entertainment,Credit Card,Movie tickets for the weekend,535.24,43.21
2024-05-01,Personal,Net Banking,Books and stationery,714.75,50.4
2024-05-06,Subscriptions,Debit Card,Online course fee,106.25,0.36
2024-05-08,Transportation,Net Banking,Uber ride to the airport,268.66,22.03
2024-05-09,Investment,Debit Card,Cryptocurrency purchase,524.84,0.0
2024-05-02,Gifts,Debit Card,Charity donation,814.19,2.5
2024-05-11,Bills,Net Banking,Mobile phone bill,768.7,6.2
2024-05-24,Transportation,Cash,Taxi fare to a meeting,375.65,1.71
2024-05-11,Personal,Cash,Hobby supplies,422.17,40.38
2024-05-08,Gifts,Credit Card,Charity donation,630.27,19.54
2024-05-12,Gifts,Debit Card,Gift for a colleague,616.8,24.57
2024-05-19,Travel,Credit Card,Hotel booking for vacation,765.34,0.89
2024-05-23,Investment,Debit Card,Real estate investment,330.63,0.0
2024-05-16,Subscriptions,UPI,Monthly magazine subscription,147.16,0.55
2024-05-23,Gifts,UPI,Gift for a colleague,47.17,2.07
2024-05-17,Gifts,Net Banking,Anniversary gift,260.82,13.17
2024-05-05,Gifts,Cash,Anniversary gift,537.69,7.03
2024-05-19,Personal,Debit Card,Books and stationery,714.47,47.92
2024-05-25,Personal,UPI,Hobby supplies,784.36,45.93
2024-05-05,Groceries,Cash,Household supplies,556.82,13.5
2024-05-06,Gifts,Net Banking,Birthday gift for a friend,171.48,4.06
2024-05-13,Subscriptions,Cash,Monthly magazine subscription,303.33,19.67
2024-05-13,Personal,Credit Card,Books and stationery,617.82,28.35
2024-05-03,Bills,UPI,Mobile phone bill,134.21,11.23
2024-05-20,Entertainment,Debit Card,Concert tickets,642.77,56.33
2024-05-25,Transportation,Cash,Parking fees,487.19,25.78
2024-05-12,Personal,Net Banking,Books and stationery,29.17,2.74
2024-06-10,Gifts,UPI,Anniversary gift,497.26,49.71
2024-06-06,Groceries,UPI,Buying meat and dairy products,309.06,17.02
2024-06-28,Transportation,Credit Card,Taxi fare to a meeting,309.96,29.86
2024-06-13,Groceries,UPI,Buying meat and dairy products,790.67,58.65
2024-06-01,Gifts,Cash,Anniversary gift,678.6,36.17
2024-06-21,Gifts,Credit Card,Anniversary gift,478.09,14.85
2024-06-21,Subscriptions,Debit Card,Online course fee,765.37,41.7
2024-06-08,Transportation,Credit Card,Uber ride to the airport,492.52,46.98
2024-06-19,Travel,UPI,Travel insurance,347.32,17.58
2024-06-20,Investment,Cash,Cryptocurrency purchase,470.97,0.0
2024-06-09,Bills,UPI,Insurance premium payment,614.38,51.43
2024-06-17,Groceries,Credit Card,Weekly grocery shopping,834.44,9.05
2024-06-06,Entertainment,Cash,Video game purchase,79.14,2.82
2024-06-21,Entertainment,Cash,Streaming service subscription,934.44,22.24
2024-06-29,Personal,Cash,Books and stationery,100.7,8.23
2024-06-18,Travel,Cash,Hotel booking for vacation,304.26,3.8
2024-06-24,Transportation,Credit Card,Gas for the car,394.19,34.91
2024-06-29,Investment,Debit Card,Cryptocurrency purchase,597.49,0.0
2024-06-03,Travel,Net Banking,Travel insurance,637.77,58.89
2024-06-19,Investment,Credit Card,Stock purchase,347.85,0.0
2024-06-09,Subscriptions,Debit Card,Streaming service subscription,80.7,4.62
2024-06-14,Investment,Net Banking,Investment in startup,263.39,0.0
2024-06-23,Transportation,Cash,Public transport monthly pass,956.17,51.95
2024-06-06,Investment,Net Banking,Mutual fund contribution,645.06,0.0
2024-06-18,Subscriptions,Cash,Online course fee,152.38,7.13
2024-06-08,Subscriptions,Cash,Online course fee,841.12,71.63
